userId,group,trialNo,userInput,shubNo
c237d7a64f2a406c94978dd76273d868,1,3,18,18
c237d7a64f2a406c94978dd76273d868,1,7,4,4
02d2024679c34f70b059efc5a43b0b73,1,3,8,8
b130f76ad4324a4ab9902a9b1066b972,1,3,6,8
02d2024679c34f70b059efc5a43b0b73,1,7,2,2
162b817ff6334732bb895841ba865327,1,3,18,18
162b817ff6334732bb895841ba865327,1,3,18,18
a3fb932964644789be3f3b0321683af4,1,3,8,8
b130f76ad4324a4ab9902a9b1066b972,1,7,2,3
d916c500b6b148dab6147e5e509a834d,1,3,14,8
62e1bd4c98c94f3f8d52816212af71c9,1,3,8,8
162b817ff6334732bb895841ba865327,1,7,17,17
162b817ff6334732bb895841ba865327,1,7,17,17
8148bf66fbe4451082f0dfac4f1fb3f3,1,3,15,15
a3fb932964644789be3f3b0321683af4,1,7,2,2
3dd4d25648334cd098d48d5fef67c575,1,3,9,9
0faf63d0381241c5979a38cf89dd8d59,1,3,9,9
6839034dc3654231844cfbfe622af622,1,3,28,28
d916c500b6b148dab6147e5e509a834d,1,7,48,48
62e1bd4c98c94f3f8d52816212af71c9,1,7,20,20
3dd4d25648334cd098d48d5fef67c575,1,7,21,21
1f5cc03fb1a44fa7a08b6328cc0f1c4b,1,3,8,8
509a32a558254a418dc19f5f41ec1b04,1,3,28,28
8148bf66fbe4451082f0dfac4f1fb3f3,1,7,11,11
6839034dc3654231844cfbfe622af622,1,7,49,49
509a32a558254a418dc19f5f41ec1b04,1,3,28,28
4864967dd08f44a9acf339ecbe796c89,1,3,25,25
0faf63d0381241c5979a38cf89dd8d59,1,7,12,12
7eee0df5d0964b71bd59a79a436fc7d2,1,3,28,28
8a8583c14ee24bef86cae434b0a2eace,1,3,28,28
def1b539f71644e7b768aadc47896df7,1,3,18,18
1f5cc03fb1a44fa7a08b6328cc0f1c4b,1,7,2,2
def1b539f71644e7b768aadc47896df7,1,3,18,18
509a32a558254a418dc19f5f41ec1b04,1,7,59,59
f843ac825ed24ff5a98aef0fdea596c4,1,3,2,22
3f8d5bb974aa4cf68909ba672640fa39,1,3,19,19
4864967dd08f44a9acf339ecbe796c89,1,7,43,43
96d91afc9bd542099fea4b95c3e7200f,1,3,9,9
a466ec1e6fec4f51bb5ab941d7d85fa2,1,3,28,28
7eee0df5d0964b71bd59a79a436fc7d2,1,7,44,44
7eee0df5d0964b71bd59a79a436fc7d2,1,7,44,44
8a8583c14ee24bef86cae434b0a2eace,1,7,46,46
f1bfe35b8fa3468b91aa34c61189e2ce,1,3,9,9
6596cfeaee0b4ed7a34ce6dd894e0d29,1,3,18,18
dde1b2fbaa8647fb9b385015c3d3e3fe,1,3,28,28
0a5c14e4382546088858e6789c7f4053,1,3,14,8
78176c89b3dc4a2f9ca343eac75ae8ab,1,3,25,25
3f8d5bb974aa4cf68909ba672640fa39,1,7,11,15
def1b539f71644e7b768aadc47896df7,1,7,26,24
f843ac825ed24ff5a98aef0fdea596c4,1,7,44,44
def1b539f71644e7b768aadc47896df7,1,7,26,24
8bb7fc2b7c9145dcb21b5774722f25a9,1,3,22,22
96d91afc9bd542099fea4b95c3e7200f,1,7,21,21
a466ec1e6fec4f51bb5ab941d7d85fa2,1,7,46,46
f2156eb4f9644224b525ce578ca56872,1,3,18,18
15466328ef4c450690772e291a9d9e8b,1,3,28,28
6596cfeaee0b4ed7a34ce6dd894e0d29,1,7,24,24
0a5c14e4382546088858e6789c7f4053,1,7,30,30
0f14643e7c2c4f07a21fde391b79ff94,1,3,18,18
8bb7fc2b7c9145dcb21b5774722f25a9,1,7,6,6
f1bfe35b8fa3468b91aa34c61189e2ce,1,7,2,2
2ff5ae433a10410c8c3f348d373564bd,1,3,18,18
f2156eb4f9644224b525ce578ca56872,1,7,7,7
dde1b2fbaa8647fb9b385015c3d3e3fe,1,7,43,43
c39d7d8e40f64183b71b31869b46345d,1,3,12,18
78176c89b3dc4a2f9ca343eac75ae8ab,1,7,32,32
47c21dc2b05a4c58b4ac1f1bbf442190,1,3,28,28
3a9a0e19a32149849e0de4df9a860b0b,1,3,8,8
7cc8fd9790f24c61b1b63c795c691052,1,3,19,19
4c94a313818d45fbbe00932ce21d9af6,1,3,8,8
15466328ef4c450690772e291a9d9e8b,1,7,49,49
0f14643e7c2c4f07a21fde391b79ff94,1,7,20,20
c39d7d8e40f64183b71b31869b46345d,1,7,27,27
c39d7d8e40f64183b71b31869b46345d,1,7,27,27
4c94a313818d45fbbe00932ce21d9af6,1,7,2,2
2ff5ae433a10410c8c3f348d373564bd,1,7,30,30
47c21dc2b05a4c58b4ac1f1bbf442190,1,7,46,46
7cc8fd9790f24c61b1b63c795c691052,1,7,6,6
3a9a0e19a32149849e0de4df9a860b0b,1,7,27,27
4cdb4c18552e4d88a5a57e28d21a37c9,1,3,14,18
38b00641be134ab79553e696faaa4533,1,3,8,8
4cdb4c18552e4d88a5a57e28d21a37c9,1,7,2,2
38b00641be134ab79553e696faaa4533,1,7,4,4
bf21619ef11642e6b07f5a9f924a7bd8,1,3,8,8
bf21619ef11642e6b07f5a9f924a7bd8,1,7,2,2
7144a6a94fed483fb0e692a5f7edb087,2,3,15,15
d57555f95bd048f29f221dc838454301,2,3,28,28
d2b03e84d38a446fbc12aab6b3771c54,2,3,25,25
8f0418d00d034e58b381460ac8d8aeaa,2,3,18,18
7144a6a94fed483fb0e692a5f7edb087,2,7,4,5
c63ffbd7ee6641928547f7abd380ada5,2,3,14,8
c63ffbd7ee6641928547f7abd380ada5,2,3,14,8
c63ffbd7ee6641928547f7abd380ada5,2,3,14,8
d57555f95bd048f29f221dc838454301,2,7,44,44
dc1ec6d177e64d8ba7f282e5d73bcc1d,2,3,18,18
